countryID estPopSize popDensity rateIncrease lifeExpectancy mortalityRate fertilityRate
195 0.6698 23.9308 2.6660000000000004 71.43 20.160999999999998 4.435
196 15.4429 24.6165 2.718 54.856 79.435 6.61
197 58.5583 48.272 1.565 60.952 32.943000000000005 2.55
198 11.0621 18.1064 2.391 56.058 65.813 5.15
199 46.7368 93.6984 -0.111 82.506 2.8789999999999996 1.3252
200 21.3237 340.0372 0.628 75.888 8.776 2.2135
201 4.9814 827.4784 2.209 73.092 19.3 4.25
202 42.8132 24.2561 2.376 63.757 47.825 4.75
203 0.5814 3.7267 1.103 70.934 20.261 2.5582
204 10.0364 24.4587 0.7829999999999999 81.92 2.4019999999999997 1.902
205 8.5914 217.4148 1.213 82.691 3.8930000000000002 1.5258
206 17.0701 92.9594 -3.428 69.873 17.868 3.1
207 9.321 66.5977 2.322 69.388 34.054 3.6075
208 69.6256 136.2829 0.447 75.178 10.083 1.5346
209 1.2931 86.9616 1.797 67.668 44.893 4.4
210 8.0824 148.6002 2.627 59.076 55.665 4.6895
211 0.0013 134.0 1.93 NULL NULL NULL
212 0.1045 145.1306 -0.625 70.314 14.737 3.7886
213 1.395 271.9246 0.625 72.483 26.09 1.7959
214 11.6947 75.275 0.9990000000000001 75.452 14.557 2.2521
215 83.4296 108.4022 1.646 75.592 11.835 2.121
216 5.9421 12.6446 1.796 67.30199999999999 46.879 3.0
217 0.0382 40.2011 2.05 NULL NULL NULL
218 0.0116 388.2 0.8690000000000001 NULL NULL NULL
219 44.2696 221.5585 3.2889999999999997 59.46 58.964 5.78
220 43.9936 75.9401 -0.384 70.90899999999999 8.753 1.4889
221 9.7705 116.8724 1.6019999999999999 76.792 6.501 1.695
222 67.5302 279.131 0.743 80.867 4.058 1.8662
223 58.0055 65.4837 2.984 60.913999999999994 46.861000000000004 5.2395
224 329.0649 35.9735 0.754 78.941 5.959 1.875
225 0.1046 298.7943 -0.215 79.406 8.961 2.2876
226 3.4617 19.7791 0.312 77.04899999999999 10.049 2.01
227 32.9817 77.5311 1.625 70.229 27.679000000000002 2.43
228 0.2999 24.6007 2.7569999999999997 69.49 24.303 4.0
229 28.5158 32.329 1.123 73.069 15.007 2.4047
230 96.4621 311.0978 1.043 74.962 17.899 1.9624
231 0.0114 81.6571 -2.134 NULL NULL NULL
232 0.5825 2.1897 1.827 68.408 34.131 2.6
233 29.1619 55.2341 2.697 65.995 43.283 4.4
234 17.861 24.0265 3.09 59.291000000000004 53.306000000000004 5.2
235 14.6455 37.8583 1.686 56.71 51.221000000000004 4.0897
